label,city,st,county,lat,long,elev,ip
ALBN,Albany 1 N,KY,Clinton,36.711,-85.138,"1,020",14
BLRK,Leitchfield 3 W,KY,Grayson,37.463,-86.344,722,12
BMBL,Barbourville 3 E,KY,Knox,36.87,-83.833,"1,016",21
BNGL,Campbellsville 7 W,KY,Taylor,37.357,-85.459,785,25
BNVL,Booneville 2 S,KY,Owsley,37.452,-83.686,784,12
BRND,Brandenburg 4 SW,KY,Meade,37.951,-86.224,603,9
BTCK,Paintsville 4 W,KY,Johnson,37.831,-82.878,755,7
CADZ,Cadiz 4 SW,KY,Trigg,36.827,-87.86,505,34
CCLA,Elizabethtown 8 W,KY,Hardin,37.679,-85.979,746,5
CHTR,Vanceburg 6 W,KY,Lewis,38.581,-83.423,546,3
CLSL,Carlisle 5 SW,KY,Nicholas,38.28,-84.104,940,29
CMBA,Columbia 3 N,KY,Adair,37.145,-85.295,848,35
CRMT,Shepherdsville 6 SE,KY,Bullitt,37.922,-85.658,546,12
CRRL,Carrollton 2 E,KY,Carroll,38.689,-85.142,472,17
DORT,Pikeville 13 S,KY,Pike,37.285,-82.525,"2,774",18
DRFN,Benton 4 N,KY,Marshall,36.916,-88.336,469,19
ELST,Richmond 8 E,KY,Madison,37.718,-84.154,860,21
ERLN,Madisonville 4 S,KY,Hopkins,37.268,-87.481,592,32
FARM,Bowling Green 5 S,KY,Warren,36.927,-86.465,559,5
FCHV,Shelbyville 10 W,KY,Shelby,38.164,-85.384,770,7
FLRK,Whitley City 3 N,KY,McCreary,36.771,-84.477,"1,312",13
FRNY,Morganfield 4 E,KY,Union,37.692,-87.844,440,45
GRDR,Burkesville 3 W,KY,Cumberland,36.802,-85.431,551,32
GRHM,Henderson 5 E,KY,Henderson,37.821,-87.509,513,12
HCKM,Hickman 2 E,KY,Fulton,36.571,-89.159,345,17
HDYV,Munfordville 6 E,KY,Hart,37.261,-85.778,716,19
HHTS,Alexandria 5 NW,KY,Campbell,39.02,-84.475,838,24
HRDB,Harrodsburg 3 N,KY,Mercer,37.806,-84.84,896,23
HTFD,Hartford 3 E,KY,Ohio,37.457,-86.855,538,21
HUEY,Burlington 4 S,KY,Boone,38.967,-84.722,896,12
LGNT,Stanford 4 NE,KY,Lincoln,37.58,-84.621,977,14
LGRN,La Grange 6 NW,KY,Oldham,38.464,-85.473,766,11
LSML,Frankfort 7 S,KY,Franklin,38.116,-84.882,748,8
LUSA,Louisa 1 S,KY,Lawrence,38.099,-82.603,619,8
LXGN,Lexington 7 S,KY,Fayette,37.975,-84.534,"1,044",7
MQDY,Hardinsburg 5 SW,KY,Breckinridge,37.714,-86.496,698,32
MRHD,Morehead 4 NE,KY,Rowan,38.219,-83.477,851,21
MROK,Glasgow 11 W,KY,Barren,37.013,-86.106,696,21
MRRY,Murray 1 W,KY,Calloway,36.613,-88.336,568,25
OLIN,McKee 5 S,KY,Jackson,37.356,-83.971,"1,319",27
PCWN,Liberty 3 SW,KY,Casey,37.28,-84.964,958,23
PGHL,Hopkinsville 6 N,KY,Christian,36.947,-87.521,729,12
PRNC,Princeton 2 SE,KY,Caldwell,37.095,-87.862,509,14
PRST,Owingsville 4 S,KY,Bath,38.089,-83.176,829,12
PRYB,Mayfield 6 SW,KY,Graves,36.698,-88.724,434,15
PVRT,Calhoun 5 NW,KY,McLean,37.585,-87.317,404,11
QKSD,Jackson 3 SE,KY,Breathitt,37.539,-83.344,688,43
RBSN,Cynthiana 8 N,KY,Harrison,38.498,-84.345,657,18
RNDH,Edmonton 5 W,KY,Metcalfe,36.989,-85.704,"1,002",12
RPTN,Marion 4 NE,KY,Crittenden,37.378,-88.036,594,13
RSVL,Russellville 2 W,KY,Logan,36.853,-86.915,660,16
SCTV,Scottsville 2 W,KY,Allen,36.744,-86.219,818,17
SWON,Owenton 5 E,KY,Owen,38.551,-84.744,870,18
VEST,Hindman 5 N,KY,Knott,37.407,-82.993,"1,556",11
WLBT,West Liberty 2 SW,KY,Morgan,37.901,-83.269,"1,071",21
WNCH,Winchester 3 NW,KY,Clark,38.035,-84.205,973,22
WSHT,Maysville 3 SW,KY,Mason,38.624,-83.808,909,23
